rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/total_steps_eval,metrics/return_eval_total,metrics/success_rate_eval,z/time_cost,z/fps
311.5328,316.6089,9.9863,1.1412,0.7822,,,,,,,,
299.1613,302.0993,9.6494,1.1284,0.7823,,,,,,,,
250.1884,254.9571,10.1,1.0409,0.7829,,,,,,,,
330.4005,334.6987,10.7612,1.1015,0.7849,,,,,,,,
225.8524,228.2063,10.1337,1.1716,0.7855,,,,,,,,
284.5059,288.0344,10.2129,1.0929,0.7844,,,,,,,,
249.7135,250.9872,10.3094,1.0421,0.7856,,,,,,,,
240.8721,240.8888,11.1692,1.0453,0.7883,,,,,,,,
,,,,,6533,161,1504,126.2,-129.0654,0.0,76,35.311
199.4306,200.9006,9.6703,0.9205,0.7915,,,,,,,,
217.1995,220.7841,10.6187,0.6812,0.7998,,,,,,,,
280.9707,287.3536,11.145,0.9529,0.8116,,,,,,,,
252.5313,254.6109,10.2977,1.1577,0.8172,,,,,,,,
,,,,,7234,165,1568,72.5,-100.2009,0.0,86,72.4983
278.6955,281.7996,10.5391,1.1493,0.8176,,,,,,,,
201.1677,205.702,9.5072,1.1488,0.8171,,,,,,,,
242.1442,246.2482,10.0457,1.0759,0.8167,,,,,,,,
232.019,234.5053,9.9456,1.0768,0.8181,,,,,,,,
,,,,,7509,169,1632,118.7,-126.7934,0.0,96,26.0465
290.2105,292.8744,10.9469,1.0924,0.8202,,,,,,,,
242.2631,243.8979,10.4319,1.1679,0.8207,,,,,,,,
191.1393,191.9301,10.2644,1.1058,0.82,,,,,,,,
207.7491,210.3925,9.7233,1.121,0.8204,,,,,,,,
213.847,216.2254,11.2674,1.1189,0.8209,,,,,,,,
200.3709,201.0635,10.3465,1.1757,0.8207,,,,,,,,
218.1158,223.1375,11.685,1.1456,0.8193,,,,,,,,
245.81,248.0192,11.3825,1.1072,0.8188,,,,,,,,
211.7432,214.4939,11.8554,1.1395,0.8191,,,,,,,,
,,,,,8041,178,1776,123.55,-120.3444,0.0,109,42.9
224.1171,223.4144,11.3294,1.2376,0.8178,,,,,,,,
216.1215,219.4286,11.3869,1.1221,0.8149,,,,,,,,
226.4201,230.8692,11.1301,0.9378,0.8159,,,,,,,,
255.4556,257.0226,11.7381,1.0543,0.8214,,,,,,,,
221.772,223.7468,11.0503,1.0756,0.8242,,,,,,,,
244.9614,248.9704,12.6849,0.9412,0.8283,,,,,,,,
227.7732,227.0468,11.4037,0.9306,0.8341,,,,,,,,
231.7223,235.6861,12.883,0.9499,0.8427,,,,,,,,
,,,,,8508,186,1904,120.85,-127.4419,0.0,120,41.0733
253.9598,257.8097,12.2959,1.1467,0.8482,,,,,,,,
205.6596,207.481,11.1022,0.9495,0.8504,,,,,,,,
180.5193,183.9241,11.8306,0.9906,0.8567,,,,,,,,
183.0301,185.897,10.6638,0.9237,0.8628,,,,,,,,
175.4698,175.9093,11.3608,0.9952,0.8711,,,,,,,,
,,,,,9299,191,1984,100.85,-131.7713,0.0,131,70.5108
181.8715,186.3783,11.3808,1.1167,0.8763,,,,,,,,
,,,,,9542,192,2000,126.95,-106.6311,0.0,142,22.2207
168.5547,170.7653,10.7992,1.1798,0.8773,,,,,,,,
189.2257,188.9653,10.0483,1.1309,0.8756,,,,,,,,
220.462,226.0675,11.7526,1.0242,0.8764,,,,,,,,
178.9991,180.2086,11.1159,0.8524,0.8819,,,,,,,,
181.6584,183.7685,10.8289,0.8218,0.893,,,,,,,,
,,,,,10017,197,2080,136.5,-107.927,0.0,155,37.721
196.4956,197.8402,11.4316,0.8747,0.9063,,,,,,,,
204.3355,207.5942,12.2318,0.9834,0.917,,,,,,,,
183.1068,183.216,10.519,1.0024,0.9246,,,,,,,,
225.1141,227.8353,10.746,0.8903,0.9323,,,,,,,,
,,,,,10659,201,2144,108.75,-133.4564,0.0,166,57.8816
236.9201,240.2251,11.9466,0.9345,0.9423,,,,,,,,
241.7393,246.1458,10.4938,1.018,0.9519,,,,,,,,
,,,,,11021,203,2176,83.35,-120.6888,0.0,174,43.5378
216.346,214.8509,11.6058,1.0128,0.9578,,,,,,,,
179.8681,183.158,10.788,1.0198,0.9633,,,,,,,,
176.5406,179.2853,10.31,1.0739,0.9689,,,,,,,,
189.9956,189.9624,10.8295,1.1657,0.9714,,,,,,,,
137.0626,141.9334,10.9016,1.2554,0.9692,,,,,,,,
149.7723,150.2282,11.6062,1.1665,0.9638,,,,,,,,
183.0995,187.8855,10.7285,1.1533,0.9613,,,,,,,,
167.8,169.2341,11.6982,1.0782,0.9605,,,,,,,,
,,,,,11531,211,2304,117.3,-109.8871,0.0,186,42.1232
190.9854,193.1063,12.0249,1.0228,0.9631,,,,,,,,
124.1296,125.2664,11.3536,1.0321,0.9679,,,,,,,,
201.0529,201.7305,11.8721,1.0576,0.973,,,,,,,,
182.7367,183.4541,12.0904,1.1093,0.9758,,,,,,,,
183.8728,184.7516,11.8872,1.1101,0.9779,,,,,,,,
153.1816,153.9003,12.8177,1.0812,0.979,,,,,,,,
154.3186,156.2762,11.4133,1.0499,0.982,,,,,,,,
153.9086,158.2774,11.9832,0.9976,0.9863,,,,,,,,
155.4164,157.461,11.7603,0.9746,0.9939,,,,,,,,
,,,,,12054,220,2448,116.5,-132.4762,0.0,198,45.264
148.809,151.8484,11.0212,1.0715,1.0021,,,,,,,,
174.1044,175.0295,12.6419,1.0686,1.0056,,,,,,,,
163.2441,163.6366,12.1442,1.0682,1.0088,,,,,,,,
187.477,192.3931,13.2495,0.9983,1.0143,,,,,,,,
208.7719,213.8586,13.1737,1.1131,1.0199,,,,,,,,
213.9131,217.5082,13.4985,0.9315,1.0238,,,,,,,,
137.5545,137.0499,12.1868,1.0212,1.0344,,,,,,,,
162.7897,166.4368,12.8734,1.1083,1.0399,,,,,,,,
171.438,172.98,13.1878,1.088,1.0425,,,,,,,,
,,,,,12550,229,2592,104.45,-128.5689,0.0,209,42.4088
172.0303,172.492,12.1097,1.1073,1.0452,,,,,,,,
129.9154,132.567,13.0179,1.2389,1.0449,,,,,,,,
192.1585,195.0336,14.0309,1.2275,1.0388,,,,,,,,
149.4692,151.9498,13.1834,1.1138,1.0338,,,,,,,,
158.367,162.7792,13.6274,0.9969,1.0353,,,,,,,,
,,,,,13007,234,2672,81.1,-101.855,0.0,218,50.4146
151.6477,154.8558,13.3591,1.0329,1.0416,,,,,,,,
174.1554,176.3937,13.499,1.0772,1.0476,,,,,,,,
168.2249,169.2606,12.8116,1.0911,1.0511,,,,,,,,
159.3819,161.9966,14.103,1.0804,1.0537,,,,,,,,
159.4564,162.8455,13.8031,0.967,1.0588,,,,,,,,
134.3414,134.9802,13.4697,1.0081,1.068,,,,,,,,
167.2436,168.3591,13.5449,0.9189,1.0778,,,,,,,,
163.6173,163.5421,14.3602,1.0599,1.0896,,,,,,,,
111.5763,111.2647,13.9338,1.0881,1.0956,,,,,,,,
,,,,,13527,243,2816,99.95,-132.372,0.0,229,49.2728
152.9705,152.6617,13.5701,1.1259,1.0992,,,,,,,,
185.0847,188.6254,14.8603,1.084,1.1009,,,,,,,,
147.363,146.8158,12.7697,1.007,1.1044,,,,,,,,
170.0944,170.0875,14.0801,1.0762,1.1115,,,,,,,,
,,,,,14049,247,2880,63.1,-108.2801,0.0,237,69.5504
163.6705,163.5534,14.0366,1.1281,1.1154,,,,,,,,
148.624,152.0316,14.7995,1.0599,1.1173,,,,,,,,
166.2769,167.3748,14.3496,1.0749,1.1214,,,,,,,,
165.543,163.6828,14.7074,1.0014,1.1277,,,,,,,,
134.9771,135.227,14.0166,1.148,1.1342,,,,,,,,
168.0058,169.2709,14.2135,1.0353,1.1361,,,,,,,,
183.1341,184.0603,14.5668,1.0843,1.1416,,,,,,,,
134.1521,136.9724,14.0492,0.8889,1.149,,,,,,,,
,,,,,14763,255,3008,130.9,-113.4964,0.0,250,51.2143
167.2152,168.5596,14.1611,1.0566,1.1634,,,,,,,,
142.114,141.967,13.883,0.942,1.1738,,,,,,,,
134.363,134.3992,13.3933,1.0987,1.1855,,,,,,,,
,,,,,15032,258,3056,97.0,-122.2555,0.0,259,30.8984
142.8696,145.8298,14.251,1.0927,1.1902,,,,,,,,
129.1022,130.1203,14.7129,1.068,1.1937,,,,,,,,
165.1269,169.1907,14.115,1.0998,1.1982,,,,,,,,
141.0201,138.2003,14.6766,1.0699,1.2022,,,,,,,,
163.6903,161.9978,14.6351,1.0487,1.2076,,,,,,,,
122.6173,123.7211,13.8432,1.1958,1.2112,,,,,,,,
141.0528,142.11,14.014,1.0693,1.209,,,,,,,,
139.5218,141.4807,14.0521,1.1575,1.211,,,,,,,,
,,,,,15506,266,3184,125.0,-108.6896,0.0,271,38.4322
163.8504,165.2726,14.9425,1.0295,1.2122,,,,,,,,
130.8452,132.0007,13.7207,1.0533,1.219,,,,,,,,
124.4835,125.23,14.0277,1.043,1.2263,,,,,,,,
136.8027,138.5981,14.245,1.0565,1.234,,,,,,,,
173.8598,178.5528,15.5212,1.0163,1.2417,,,,,,,,
141.6068,143.7667,13.9336,1.055,1.2508,,,,,,,,
155.7585,157.1236,14.8164,1.0712,1.2594,,,,,,,,
,,,,,16125,273,3296,72.25,-95.2822,0.0,281,65.2423
126.4498,126.7911,14.5338,1.0778,1.2659,,,,,,,,
145.4677,145.6627,14.4598,1.0966,1.27,,,,,,,,
150.1589,153.8674,13.8952,1.0299,1.275,,,,,,,,
154.169,154.8507,14.6088,1.0383,1.2845,,,,,,,,
132.3198,136.0758,13.4823,1.11,1.2924,,,,,,,,
141.2447,143.3787,14.4346,1.1499,1.2951,,,,,,,,
157.0441,157.7655,13.9408,1.1215,1.2934,,,,,,,,
,,,,,16520,280,3408,99.65,-126.4122,0.0,291,39.9293
161.8192,164.7797,15.2789,1.0838,1.295,,,,,,,,
171.2964,170.6362,15.3321,1.0023,1.2999,,,,,,,,
187.23,186.9848,15.0424,1.118,1.3089,,,,,,,,
141.3592,141.9117,14.01,1.0891,1.3133,,,,,,,,
115.7053,113.6445,13.2494,1.1125,1.3173,,,,,,,,
145.6385,146.8607,13.9084,1.0911,1.3209,,,,,,,,
,,,,,17095,286,3504,65.0,-91.6653,0.0,299,71.0532
130.4675,131.1343,14.274,1.1217,1.3233,,,,,,,,
114.1035,112.594,14.2785,0.9269,1.3298,,,,,,,,
141.0027,144.4276,14.1104,1.1505,1.3424,,,,,,,,
154.8724,154.8149,13.7871,1.1166,1.3456,,,,,,,,
126.6651,128.542,13.5447,1.1382,1.3455,,,,,,,,
132.2613,133.83,14.4786,1.097,1.3461,,,,,,,,
,,,,,17545,292,3600,70.0,-94.0059,0.0,308,52.0191
106.6143,106.0629,13.0451,1.0993,1.3485,,,,,,,,
137.2439,136.4175,13.3384,1.0345,1.3532,,,,,,,,
125.8199,123.6116,14.4009,1.0944,1.3615,,,,,,,,
122.168,120.8566,12.5503,1.0829,1.3683,,,,,,,,
134.1043,135.1223,13.9901,1.1333,1.3717,,,,,,,,
130.562,131.8944,14.8453,1.0252,1.3739,,,,,,,,
105.9062,105.9257,13.2097,1.0627,1.3847,,,,,,,,
,,,,,18119,299,3712,77.25,-101.6751,0.0,317,58.8144
118.9947,120.8466,13.9759,1.1266,1.3915,,,,,,,,
161.4952,163.3858,14.531,1.0924,1.396,,,,,,,,
152.487,151.3938,12.1842,1.1616,1.3969,,,,,,,,
155.7468,155.2003,13.6845,1.0811,1.3953,,,,,,,,
,,,,,18566,303,3776,55.4,-77.2534,0.0,324,67.5801
166.2036,168.4005,13.4342,1.0883,1.3992,,,,,,,,
129.7819,126.0328,13.3451,1.0949,1.4046,,,,,,,,
114.4903,115.5438,13.4831,1.0968,1.4088,,,,,,,,
121.1546,119.2325,13.5056,1.0704,1.4138,,,,,,,,
123.6018,122.643,13.8172,1.0674,1.4206,,,,,,,,
117.1754,118.3537,13.0281,1.1585,1.4263,,,,,,,,
120.8337,118.5182,13.3842,1.1039,1.4265,,,,,,,,
142.5425,140.853,14.1903,1.0168,1.4316,,,,,,,,
,,,,,19045,311,3904,80.9,-103.8057,0.0,333,52.6892
131.3281,133.9458,12.5608,1.1315,1.4413,,,,,,,,
101.0307,101.1456,13.5387,1.0497,1.4455,,,,,,,,
124.5832,125.0634,13.1587,1.0538,1.4543,,,,,,,,
145.6055,145.8735,14.0787,1.1681,1.4621,,,,,,,,
144.8913,144.854,13.5425,1.1196,1.4594,,,,,,,,
119.2656,120.7158,13.3346,1.0518,1.4627,,,,,,,,
139.5453,136.9653,13.7153,0.957,1.4757,,,,,,,,
,,,,,19561,318,4016,85.35,-100.8327,0.0,343,50.7501
144.3059,144.0953,15.4428,1.1488,1.4928,,,,,,,,
107.9467,108.6969,13.7188,1.0924,1.4954,,,,,,,,
97.038,99.1089,12.9116,1.0592,1.5005,,,,,,,,
105.3371,104.2084,13.8707,1.0754,1.5094,,,,,,,,
111.9775,112.0717,12.7499,1.0909,1.5166,,,,,,,,
117.8498,119.7825,12.867,1.0762,1.5236,,,,,,,,
,,,,,20027,324,4112,75.3,-100.7791,0.0,352,53.4921
131.4994,131.1917,13.3938,1.1086,1.5306,,,,,,,,
108.1695,108.5267,13.868,1.0955,1.5347,,,,,,,,
111.873,111.4032,12.3959,1.1108,1.5402,,,,,,,,
139.6721,137.9196,12.9675,1.1217,1.542,,,,,,,,
114.6305,114.9812,12.7439,1.0375,1.5449,,,,,,,,
129.9437,127.3553,13.4971,1.0141,1.5599,,,,,,,,
,,,,,20558,330,4208,81.05,-111.4234,0.0,361,58.7431
145.2394,143.3378,13.6213,1.0968,1.5752,,,,,,,,
125.7797,126.037,13.1165,1.1203,1.5814,,,,,,,,
119.7135,120.2837,13.7212,1.0677,1.5852,,,,,,,,
119.2528,117.8285,13.3844,1.1333,1.5925,,,,,,,,
117.3479,118.0224,12.695,1.1191,1.5926,,,,,,,,
138.6029,138.0449,14.0034,1.0663,1.5967,,,,,,,,
114.7283,112.5628,13.502,1.0587,1.6065,,,,,,,,
,,,,,21044,337,4320,94.55,-112.5996,0.0,371,46.5536
144.3104,142.6375,13.4252,1.1043,1.6174,,,,,,,,
155.9113,156.6234,12.789,1.1787,1.6196,,,,,,,,
141.187,141.9784,13.8294,1.0957,1.6151,,,,,,,,
146.9825,149.1338,13.2819,1.0675,1.6205,,,,,,,,
132.078,131.0643,12.1005,1.0637,1.6301,,,,,,,,
162.3314,163.293,12.6092,1.076,1.6405,,,,,,,,
,,,,,21590,343,4416,48.8,-69.9294,0.0,379,72.3494
102.6828,99.9696,12.3096,1.0678,1.6511,,,,,,,,
127.136,126.3297,13.3292,1.1129,1.6618,,,,,,,,
128.5469,125.8399,12.4363,1.0719,1.6675,,,,,,,,
114.3312,111.1716,11.5525,1.0595,1.6771,,,,,,,,
161.3783,158.6295,13.2979,1.1969,1.6847,,,,,,,,
,,,,,22007,348,4496,68.5,-94.6959,0.0,387,49.8846
92.2543,91.3377,12.6051,1.1333,1.6774,,,,,,,,
150.001,148.2362,13.3979,1.0938,1.6772,,,,,,,,
146.5531,143.6284,12.655,1.1841,1.6784,,,,,,,,
133.8606,129.799,12.4416,1.1222,1.6728,,,,,,,,
128.5787,128.1017,12.9497,1.1611,1.6692,,,,,,,,
103.901,104.3501,12.7657,1.0659,1.6667,,,,,,,,
160.3404,161.7126,12.818,1.0741,1.6758,,,,,,,,
110.7686,111.7108,13.4168,1.0902,1.6873,,,,,,,,
117.7819,116.5375,13.2257,1.0917,1.6938,,,,,,,,
,,,,,22587,357,4640,73.15,-106.2818,0.0,396,64.5692
113.8435,111.8172,10.8576,1.0786,1.7018,,,,,,,,
102.1276,103.9139,11.5209,1.1183,1.7116,,,,,,,,
124.2987,120.0946,12.5028,1.0931,1.7152,,,,,,,,
105.8605,104.1054,13.3913,1.1533,1.7182,,,,,,,,
,,,,,23018,361,4704,96.15,-110.4026,0.0,406,43.8573
106.4263,103.7472,12.3339,1.1033,1.7174,,,,,,,,
93.7778,91.8937,11.8676,0.9886,1.7268,,,,,,,,
100.479,100.7403,10.9389,1.1084,1.7475,,,,,,,,
99.666,97.7424,11.8513,1.1864,1.7511,,,,,,,,
115.6685,116.2319,11.6585,1.1969,1.7404,,,,,,,,
102.521,101.9607,11.2416,1.1379,1.729,,,,,,,,
86.6608,85.9515,11.7492,1.1422,1.7252,,,,,,,,
101.7921,102.8027,12.2759,1.1081,1.7214,,,,,,,,
,,,,,23507,369,4832,62.35,-83.3554,0.0,415,58.0597
110.0025,111.1921,11.3475,1.0616,1.727,,,,,,,,
141.2485,144.5917,11.2163,1.0635,1.7379,,,,,,,,
131.7181,131.5734,11.7296,1.0737,1.7525,,,,,,,,
116.123,117.8707,11.4823,1.1458,1.7631,,,,,,,,
145.5223,147.4366,12.103,1.0981,1.762,,,,,,,,
114.9048,116.3631,10.943,1.0668,1.7683,,,,,,,,
,,,,,24074,375,4928,76.7,-102.4404,0.0,424,59.5901
108.7261,109.0629,11.0202,1.0827,1.7791,,,,,,,,
109.8215,109.3006,11.8422,1.1495,1.7883,,,,,,,,
101.7088,101.8395,12.1709,1.1696,1.7844,,,,,,,,
110.1852,107.8836,11.7208,1.1269,1.7772,,,,,,,,
128.7193,126.251,11.631,1.1065,1.775,,,,,,,,
,,,,,24515,380,5008,75.35,-117.1219,0.0,432,55.0605
104.0241,101.861,11.7564,1.1798,1.777,,,,,,,,
123.0773,122.4455,10.6529,1.1514,1.7689,,,,,,,,
101.5165,99.6976,11.6766,1.1469,1.7611,,,,,,,,
118.7469,120.486,11.1306,1.1782,1.7546,,,,,,,,
119.2069,122.0576,11.7838,1.0933,1.7514,,,,,,,,
112.9963,114.1217,11.9817,1.124,1.7512,,,,,,,,
100.0244,99.487,10.4685,1.0962,1.7555,,,,,,,,
,,,,,25009,387,5120,93.65,-105.2601,0.0,442,48.2177
110.0219,108.8321,10.7046,1.1228,1.7581,,,,,,,,
96.1568,97.0122,11.3511,1.1007,1.7622,,,,,,,,
112.3566,109.9726,11.4232,1.1538,1.7648,,,,,,,,
108.3904,106.6797,12.1813,1.13,1.762,,,,,,,,
102.8672,101.3987,10.2597,1.1244,1.7593,,,,,,,,
119.4621,119.3377,11.6282,1.0916,1.7627,,,,,,,,
109.291,108.9254,10.0693,1.1254,1.7675,,,,,,,,
,,,,,25565,394,5232,63.4,-90.2446,0.0,451,64.2219
104.1569,104.7873,11.0381,1.1486,1.7671,,,,,,,,
113.9501,116.0787,10.0681,1.1202,1.7637,,,,,,,,
99.187,97.9906,10.1592,1.025,1.7697,,,,,,,,
84.9444,85.5548,9.7516,1.1132,1.7862,,,,,,,,
131.4675,129.7705,11.3587,1.1072,1.7915,,,,,,,,
,,,,,26034,399,5312,73.0,-102.6148,0.0,460,54.1634
128.0346,132.299,11.1985,1.1821,1.792,,,,,,,,
127.309,127.1016,11.5154,1.0361,1.7885,,,,,,,,
102.1604,99.0376,10.9881,1.0254,1.8071,,,,,,,,
122.5745,121.3455,11.141,1.1385,1.8253,,,,,,,,
119.8256,119.7717,11.4504,1.1294,1.8257,,,,,,,,
116.5149,118.6794,11.1261,1.1161,1.8248,,,,,,,,
,,,,,26522,405,5408,82.75,-108.5215,0.0,469,53.5001
134.4809,133.6174,10.55,1.1472,1.828,,,,,,,,
105.3987,104.8827,10.11,1.1532,1.8211,,,,,,,,
105.0685,106.0325,10.1985,1.1399,1.8164,,,,,,,,
110.8654,112.5647,9.6495,1.1224,1.8148,,,,,,,,
87.8679,85.6857,9.9664,1.0889,1.8156,,,,,,,,
,,,,,27016,410,5488,78.0,-96.0847,0.0,478,56.5226
121.1275,121.254,10.7468,1.1232,1.8208,,,,,,,,
103.2253,102.6933,8.7104,1.1112,1.8242,,,,,,,,
117.8143,118.1703,9.5751,1.1637,1.8256,,,,,,,,
94.4418,94.1835,9.16,1.1439,1.8202,,,,,,,,
100.0282,100.491,9.3766,1.1072,1.8155,,,,,,,,
90.9652,90.5113,9.0546,1.049,1.8233,,,,,,,,
,,,,,27534,416,5584,101.3,-105.0089,0.0,488,47.3413
118.6273,121.2924,9.4067,1.1308,1.835,,,,,,,,
109.9557,106.1823,10.0024,1.1666,1.8359,,,,,,,,
115.8578,112.4599,9.4771,1.0912,1.8288,,,,,,,,
109.306,107.9673,9.5696,1.1126,1.834,,,,,,,,
107.7084,107.0851,8.8261,1.0449,1.8418,,,,,,,,
106.2782,102.7847,9.3014,1.0957,1.8591,,,,,,,,
,,,,,28075,422,5680,88.7,-104.7627,0.0,498,57.2933
